Date,ftsemib
1999-04-15 00:00:00+02:00,38164.0
1999-04-16 00:00:00+02:00,38254.0
1999-04-19 00:00:00+02:00,38471.0
1999-04-20 00:00:00+02:00,38162.0
1999-04-21 00:00:00+02:00,38406.0
1999-04-22 00:00:00+02:00,38306.0
1999-04-23 00:00:00+02:00,38310.0
1999-04-26 00:00:00+02:00,37949.0
1999-04-27 00:00:00+02:00,38750.0
1999-04-28 00:00:00+02:00,38450.0
1999-04-29 00:00:00+02:00,38279.0
1999-04-30 00:00:00+02:00,38679.0
1999-05-03 00:00:00+02:00,38735.0
1999-05-04 00:00:00+02:00,38696.0
1999-05-05 00:00:00+02:00,38447.0
1999-05-06 00:00:00+02:00,38237.0
1999-05-07 00:00:00+02:00,38049.0
1999-05-10 00:00:00+02:00,38018.0
1999-05-11 00:00:00+02:00,37637.0
1999-05-12 00:00:00+02:00,37234.0
1999-05-13 00:00:00+02:00,37549.0
1999-05-14 00:00:00+02:00,36727.0
1999-05-17 00:00:00+02:00,35929.0
1999-05-18 00:00:00+02:00,36541.0
1999-05-19 00:00:00+02:00,37432.0
1999-05-20 00:00:00+02:00,37464.0
1999-05-21 00:00:00+02:00,37737.0
1999-05-24 00:00:00+02:00,37295.0
1999-05-25 00:00:00+02:00,37234.0
1999-05-26 00:00:00+02:00,37444.0
1999-05-27 00:00:00+02:00,36883.0
1999-05-28 00:00:00+02:00,36873.0
1999-05-31 00:00:00+02:00,37088.0
1999-06-01 00:00:00+02:00,36729.0
1999-06-02 00:00:00+02:00,36580.0
1999-06-03 00:00:00+02:00,37098.0
1999-06-04 00:00:00+02:00,36973.0
1999-06-07 00:00:00+02:00,37122.0
1999-06-08 00:00:00+02:00,37251.0
1999-06-09 00:00:00+02:00,37227.0
1999-06-10 00:00:00+02:00,36871.0
1999-06-11 00:00:00+02:00,36878.0
1999-06-14 00:00:00+02:00,36402.0
1999-06-15 00:00:00+02:00,36493.0
1999-06-16 00:00:00+02:00,36927.0
1999-06-17 00:00:00+02:00,36978.0
1999-06-18 00:00:00+02:00,37312.0
1999-06-21 00:00:00+02:00,37330.0
1999-06-22 00:00:00+02:00,37146.0
1999-06-23 00:00:00+02:00,37168.0
1999-06-24 00:00:00+02:00,37110.0
1999-06-25 00:00:00+02:00,36754.0
1999-06-28 00:00:00+02:00,36751.0
1999-06-29 00:00:00+02:00,36827.0
1999-06-30 00:00:00+02:00,36717.0
1999-07-01 00:00:00+02:00,37103.0
1999-07-02 00:00:00+02:00,37137.0
1999-07-05 00:00:00+02:00,37830.0
1999-07-06 00:00:00+02:00,38101.0
1999-07-07 00:00:00+02:00,38084.0
1999-07-08 00:00:00+02:00,38240.0
1999-07-09 00:00:00+02:00,38318.0
1999-07-12 00:00:00+02:00,38130.0
1999-07-13 00:00:00+02:00,37500.0
1999-07-14 00:00:00+02:00,37666.0
1999-07-15 00:00:00+02:00,37859.0
1999-07-16 00:00:00+02:00,37635.0
1999-07-19 00:00:00+02:00,37444.0
